Date,Month end exchange rate,Money supply,Net foreign asset,Terms of trade,Inflation rate,Stock market price index ,Inflation rate ,Foreign reserves
1/31/2003,96.8,629492.9286,124129.1,109.1,105.8,793.5,10,210971
2/28/2003,96.9,635737.069,124577.237,97.5,105.2,748.5,10.2,216150.3
3/31/2003,96.9,643063.4301,124175.3,105.5,104.2,739,9.9,211881.6
4/30/2003,97.1,648591.1844,130828.8,109.9,104.4,824.4,9.9,232942.8
5/31/2003,97.3,651250.3161,134822.7,119,105.4,858.7,9.5,230445.3
6/30/2003,97.1,655004.4274,137852.6,120.2,105.7,1048.9,9,238155.7
7/31/2003,97.1,660456.3102,142444.6,117.6,105.1,1045.8,8.3,234189.9
8/31/2003,96.8,668743.4407,146263.65,120.4,104.9,1082.6,7.8,244803.1
9/30/2003,94.4,678893.2779,161690.1,117.8,106.1,1292.4,7.6,258143
10/31/2003,94.8,686859.661,162534.4,114.7,106.2,1416.4,7.2,265587.9
11/30/2003,96.5,700234.0721,160387.3,94.5,107.6,1206.3,6.8,256693.8
12/31/2003,96.7,717854.8315,164596.4,100.1,108.9,1062.1,6.3,278425.8
1/31/2004,97.5,724300.3311,164772.8,110.5,110.9,1211.11,5.2,266385.6
2/29/2004,99,735103.2099,167214.4,103,111,1224.92,4.4,279508.4
3/31/2004,97.4,746084.701,160955.3,104,110.2,1284.22,3.9,278268
4/30/2004,98.3,749310.4685,152275.2,103.1,111.6,1212.34,3.7,273406.5
5/31/2004,99.1,754995.0108,151131.2,108.8,112.8,1319.25,3.7,251469.8
6/30/2004,102.3,759794.8565,152011.2,109.1,113.8,1358.47,3.9,275290.8
7/31/2004,103.4,776842.867,150586.5,112.1,115.4,1454.36,4.3,258115.4
8/31/2004,103.1,786020.6007,149240.9,104.5,116.4,1370.43,4.9,267916.2
9/30/2004,103.7,801588.0414,151413.4,104.1,118.3,1450.82,5.4,261126.7
10/31/2004,104,813573.6552,145019.3,116.9,119,1534.42,6.1,257749.6
11/30/2004,104.9,834681.9778,143107.7,87.2,121.5,1499.41,6.8,258297.25
12/31/2004,104.6,858644.4703,151693.2,94.8,123,1506.89,7.6,284608.3
1/31/2005,99.4,867385.2046,143075.4,108.1,124.4,1650.72,9.1,243740.6
2/28/2005,99.5,878199.6456,145225.7,95.1,124.4,1715.14,9,255377.6
3/31/2005,99.4,891661.2643,162059.054,100.6,124.9,1751.88,9.2,277925.2
4/30/2005,99.9,904951.8344,164811.5,103.2,126.5,1829.62,9.4,297167.3
5/31/2005,99.9,901667.1047,158906.1,102.3,127.2,1936.13,9.6,268358.1
6/30/2005,100,913159.4018,160767,108.5,127.9,1897.78,9.8,288418.6
7/31/2005,100.7,928303.8284,159186.3,113.4,128.5,2047.21,9.8,285828.3
8/31/2005,101.2,945538.063,162944.6,97.9,128.9,2145.02,9.9,295490.6
9/30/2005,101.3,959112.1029,174115.3,90.3,129.2,2434.42,10.2,301224
10/31/2005,101.8,988773.0526,181619.3,104.8,130.3,2516.47,10.4,349344.6
11/30/2005,102,1006356.021,186445.3,83.1,131.5,2292.46,10.3,311735.25
12/31/2005,102.1,1022277.26,196924.715,99.7,132.2,1922.21,10.3,334303.8
1/31/2006,102.3,1040544.503,207405.09,101,133.5,2138.97,10.2,334945.09
2/28/2006,102.5,1058933.788,217097.8,101.4,134.7,2212.69,10.3,361007.2
3/31/2006,102.8,1069380.128,215040,103.7,134.7,2264.36,10.1,356191.4
4/30/2006,102.8,1084657.19,219681,95.3,136.7,2263.44,9.9,362126.6
5/31/2006,103,1080177.344,214979.1,92.6,139,2203.82,9.6,327609.1
6/30/2006,104,1084833.502,218532.7,103.8,141.4,2114.37,9.5,372641.6
7/31/2006,104,1095047.037,221124.3,106,141.3,2196.01,9.3,344996
8/31/2006,102.6,1097188.389,221041.576,97.3,141.8,2199.97,9.1,375823.47
9/30/2006,103.8,1116228.279,208101.63,88.6,143.5,2383.4,8.9,324629.3
10/31/2006,107.3,1155303.183,214913.1,102.9,145.4,2454.25,8.7,359754.2
11/30/2006,108,1176369.685,228609.33,85.8,147.8,2777.73,8.6,361845.3
12/31/2006,107.7,1204550.347,229859.516,95.3,150,2722.36,8.5,360564.32
1/31/2007,108.7,1208103.136,233047.25,96.6,151.8,2924.25,8.5,358403.36
2/28/2007,108.7,1234790.58,238758.74,99.5,155.2,2982.89,8.6,383558.13
3/31/2007,109.4,1258541.611,260105.589,107.5,155,2789.81,8.5,395471.7
4/30/2007,110.2,1266403.865,269859.51,85.5,156.3,2811.29,8.5,429902.26
5/31/2007,110.8,1282269.277,268274.54,92.9,157.3,2508.3,8.4,387558
6/30/2007,111.4,1294024.161,261397.04,101.9,160.6,2572.2,8.3,427018.4
7/31/2007,111.8,1313001.285,258030.788,114.8,163.1,2442.11,8.2,391673.23
8/31/2007,113.1,1340746.948,252476.864,99.6,165.2,2526.59,8.1,407945.754
9/30/2007,113.5,1357399.883,251051.582,85.2,166.7,2556.62,8,382824.682
10/31/2007,111.4,1357387.757,315731.27,100,171.8,2615.23,7.9,464893.21
11/30/2007,110.5,1389854.926,305212.53,76.1,176.4,2560.16,7.7,433589.6
12/31/2007,108.7,1404018.513,292926.51,86.5,178.1,2540.99,7.7,440326.987
1/31/2008,108,1398625.167,304436.91,89.1,118.7,2446.13,7.5,453711.61
2/29/2008,107.9,1406964.064,325914.962,92.2,122.1,2530.86,7.5,511357.81
3/31/2008,107.8,1430467.292,336047.36,91.8,124,2550.47,7.6,481122.627
