Date,Month end exchange rate
12/31/2002,96.7
1/31/2003,96.8
2/28/2003,96.9
3/31/2003,96.9
4/30/2003,97.1
5/31/2003,97.3
6/30/2003,97.1
7/31/2003,97.1
8/31/2003,96.8
9/30/2003,94.4
10/31/2003,94.8
11/30/2003,96.5
12/31/2003,96.7
1/31/2004,97.5
2/29/2004,99
3/31/2004,97.4
4/30/2004,98.3
5/31/2004,99.1
6/30/2004,102.3
7/31/2004,103.4
8/31/2004,103.1
9/30/2004,103.7
10/31/2004,104
11/30/2004,104.9
12/31/2004,104.6
1/31/2005,99.4
2/28/2005,99.5
3/31/2005,99.4
4/30/2005,99.9
5/31/2005,99.9
6/30/2005,100
7/31/2005,100.7
8/31/2005,101.2
9/30/2005,101.3
10/31/2005,101.8
11/30/2005,102
12/31/2005,102.1
1/31/2006,102.3
2/28/2006,102.5
3/31/2006,102.8
4/30/2006,102.8
5/31/2006,103
6/30/2006,104
7/31/2006,104
8/31/2006,102.6
9/30/2006,103.8
10/31/2006,107.3
11/30/2006,108
12/31/2006,107.7
1/31/2007,108.7
2/28/2007,108.7
3/31/2007,109.4
4/30/2007,110.2
5/31/2007,110.8
6/30/2007,111.4
7/31/2007,111.8
8/31/2007,113.1
9/30/2007,113.5
10/31/2007,111.4
11/30/2007,110.5
12/31/2007,108.7
1/31/2008,108
2/29/2008,107.9
3/31/2008,107.8
4/30/2008,107.9
5/31/2008,107.9
6/30/2008,107.7
7/31/2008,107.5
8/31/2008,107.8
9/30/2008,107.9
10/31/2008,109.4
11/30/2008,110
12/31/2008,113.1
1/31/2009,113.9
2/28/2009,114.3
3/31/2009,115.1
4/30/2009,120.1
5/31/2009,114.9
6/30/2009,114.9
7/31/2009,114.9
8/31/2009,114.8
9/30/2009,114.8
10/31/2009,114.8
11/30/2009,114.6
12/31/2009,114.4
1/31/2010,114.6
2/28/2010,114.4
3/31/2010,114
4/30/2010,114
5/31/2010,113.9
6/30/2010,113.5
7/31/2010,112.6
8/31/2010,112.7
9/30/2010,111.9
10/31/2010,111.7
11/30/2010,111.5
12/31/2010,111
1/31/2011,111.1
2/28/2011,110.8
3/31/2011,110.4
4/30/2011,109.9
5/31/2011,109.8
6/30/2011,109.6
7/31/2011,109.5
8/31/2011,109.9
9/30/2011,110.2
10/31/2011,110.1
11/30/2011,113.9
12/31/2011,113.9
1/31/2012,113.9
2/29/2012,121.1
3/31/2012,128.2
4/30/2012,130.8
5/31/2012,132.2
6/30/2012,133.3
7/31/2012,131.8
8/31/2012,132.4
9/30/2012,129.8
10/31/2012,130
11/30/2012,130.3
12/31/2012,127.2
1/31/2013,126.5
2/28/2013,127.5
3/31/2013,126.9
4/30/2013,126.8
5/31/2013,126.5
6/30/2013,130
7/31/2013,131.6
8/31/2013,133.1
9/30/2013,132
10/31/2013,131
11/30/2013,131.2
12/31/2013,130.8
1/31/2014,130.7
2/28/2014,131
3/31/2014,130.7
4/30/2014,130.6
5/31/2014,130.5
6/30/2014,130.3
7/31/2014,130.2
8/31/2014,130.2
9/30/2014,130.4
10/31/2014,130.8
11/30/2014,131
12/31/2014,131
1/31/2015,132.2
2/28/2015,132.9
3/31/2015,132.9
4/30/2015,132.9
5/31/2015,133.9
6/30/2015,133.7
7/31/2015,133.6
8/31/2015,134.3
9/30/2015,141.2
10/31/2015,140.9
11/30/2015,143.2
12/31/2015,144.1
1/31/2016,143.9
2/29/2016,144.3
3/31/2016,143.9
4/30/2016,143.9
5/31/2016,145.8
6/30/2016,145.3
7/31/2016,145.75
8/31/2016,145.62
9/30/2016,146.72
10/31/2016,147.11
11/30/2016,147.95
12/31/2016,149.8
1/31/2017,150.24
2/28/2017,151.25
3/31/2017,151.74
4/30/2017,151.9
5/31/2017,152.5
6/30/2017,153.51
7/31/2017,153.73
8/31/2017,152.84
9/30/2017,153.1
10/31/2017,153.59
11/30/2017,153.77
12/31/2017,152.85
1/31/2018,153.77
2/28/2018,154.87
3/31/2018,155.97
4/30/2018,157.65
5/31/2018,158.09
6/30/2018,158.26
7/31/2018,159.71
8/31/2018,161.47
9/30/2018,169.24
10/31/2018,174.38
11/30/2018,179.67
12/31/2018,182.75
1/31/2019,179.88
2/28/2019,179.8
3/31/2019,176.13
4/30/2019,175.46
5/31/2019,176.41
6/30/2019,176.54
7/31/2019,176.24
8/31/2019,180.72
9/30/2019,181.93
10/31/2019,181.6
11/30/2019,180.43
12/31/2019,181.63
1/31/2020,181.59
2/29/2020,181.81
3/31/2020,188.62
4/30/2020,192.85
5/31/2020,186.29
6/30/2020,186.23
7/31/2020,185.68
8/31/2020,186.16
9/30/2020,185.52
10/31/2020,184.28
11/30/2020,184.96
12/31/2020,186.41
1/31/2021,194.39
2/28/2021,194.01
3/31/2021,199.04
4/30/2021,199.54
5/31/2021,199.5
6/30/2021,201.14
7/31/2021,199.9
8/31/2021,210
9/30/2021,199.99
10/31/2021,201.87
11/30/2021,202.05
12/31/2021,200.43
